id,keywords,pub_date,web_url,document_type,news_desk,section_name,subsection_name,type_of_material
nyt://article/d7cb49e0-9349-55ce-a364-4efc0e914ff7,"[('subject', 'Culture (Arts)'), ('subject', 'Deaths (Obituaries)'), ('persons', 'Moore, Mary Tyler'), ('persons', 'Petty, Tom'), ('persons', 'Domino, Fats'), ('persons', 'Brown, Trisha'), ('persons', 'Ashbery, John'), ('persons', 'Berry, Chuck'), ('persons', 'Shepard, Sam'), ('persons', 'Reese, Della'), ('persons', 'Hvorostovsky, Dmitri'), ('persons', 'Bennington, Chester (1976-2017)'), ('persons', 'Lewis, Jerry'), ('persons', 'Rickles, Don'), ('persons', 'Millett, Kate'), ('persons', 'Demme, Jonathan'), ('persons', 'Friedman, Michael'), ('persons', 'Romero, George A'), ('persons', 'Cook, Barbara'), ('persons', 'Gregory, Dick'), ('persons', 'Lil Peep (Rapper)'), ('persons', 'Rosenquist, James'), ('persons', 'Hallyday, Johnny'), ('persons', 'Prodigy (1974-2017)'), ('persons', 'Cassidy, David'), ('persons', 'GUILLAUME, ROBERT'), ('persons', 'Gurney, A R'), ('persons', 'Moreau, Jeanne')]",2017-12-22T10:01:41+0000,https://www.nytimes.com/2017/12/22/arts/their-words-to-live-by-artists-we-lost-in-2017.html,article,Culture,Arts,,News
nyt://article/3bc1c127-269c-543b-ab59-f6c97e5180aa,"[('persons', 'Loeb, Marshall'), ('organizations', 'Money (Magazine)'), ('subject', 'News and News Media'), ('subject', 'Magazines'), ('organizations', 'Fortune (Magazine)'), ('subject', 'Deaths (Obituaries)')]",2017-12-11T22:35:42+0000,https://www.nytimes.com/2017/12/11/obituaries/marshall-loeb-editor-who-shaped-money-and-fortune-magazines-dies-at-88.html,article,Business,Obituaries,,Obituary (Obit)
nyt://article/33073a69-a654-5d58-9fb1-08829febb535,"[('persons', 'Lee, Edwin M'), ('subject', 'Deaths (Obituaries)'), ('glocations', 'San Francisco (Calif)'), ('subject', 'Mayors')]",2017-12-12T11:38:07+0000,https://www.nytimes.com/2017/12/12/us/ed-lee-dead.html,article,Obits,U.S.,,Obituary (Obit)
nyt://article/077c78c8-97d7-57c7-80b5-d417f76a308c,"[('persons', 'Brown, Bruce (1937-2017)'), ('creative_works', 'The Endless Summer (Movie)'), ('subject', 'Surfing'), ('subject', 'Documentary Films and Programs'), ('subject', 'Deaths (Obituaries)')]",2017-12-12T22:46:23+0000,https://www.nytimes.com/2017/12/12/obituaries/bruce-brown-documentarian-of-surfing-is-dead-at-80.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/68cdc1d0-923e-5c40-9f7c-229848904c71,"[('persons', 'Brock, Macon F Jr (1942-2017)'), ('organizations', 'Dollar Tree Inc'), ('subject', 'Shopping and Retail'), ('subject', 'Deaths (Obituaries)')]",2017-12-12T23:21:09+0000,https://www.nytimes.com/2017/12/12/obituaries/macon-brock-jr-co-founder-of-dollar-tree-dies-at-75.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/3c8b7003-1b2f-5ddb-8f7b-88897e55cf76,"[('persons', 'Reed, Roy'), ('subject', 'Civil Rights Movement (1954-68)'), ('organizations', 'New York Times'), ('subject', 'News and News Media'), ('subject', 'Deaths (Obituaries)')]",2017-12-11T16:00:34+0000,https://www.nytimes.com/2017/12/11/obituaries/roy-reed-dead.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/c6defe59-a308-5c2c-a182-b69f36ff3947,"[('subject', 'Deaths (Obituaries)'), ('persons', 'Booker, Simeon (1918- )'), ('subject', 'Civil Rights Movement (1954-68)'), ('subject', 'News and News Media'), ('subject', 'Race and Ethnicity'), ('persons', 'Till, Emmett Louis')]",2017-12-10T23:58:01+0000,https://www.nytimes.com/2017/12/10/obituaries/simeon-booker-dead-reporter-civil-rights.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/c592ef5c-4111-5632-ba09-416f1098efc2,"[('persons', 'Hanley, James F'), ('subject', 'Organized Labor'), ('subject', 'Wages and Salaries'), ('subject', 'Politics and Government'), ('glocations', 'New York City'), ('subject', 'Deaths (Obituaries)')]",2017-12-11T22:35:32+0000,https://www.nytimes.com/2017/12/11/obituaries/james-hanley-labor-negotiator-for-three-mayors-dies-at-69.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/e0593795-4e21-592c-b692-ff45a9713042,"[('persons', 'Jenkins, Charles Robert'), ('subject', 'Defectors (Political)'), ('subject', 'Desertion (Military)'), ('glocations', 'North Korea'), ('organizations', 'United States Army'), ('subject', 'United States Defense and Military Forces'), ('subject', 'Deaths (Obituaries)')]",2017-12-12T05:05:19+0000,https://www.nytimes.com/2017/12/12/obituaries/charles-jenkins-north-korea-defector.html,article,Obits,Obituaries,,Obituary (Obit)
nyt://article/09e6de32-426d-59f7-82df-7aa5da4a61b4,"[('creative_works', 'The Walking Dead (TV Program)'), ('subject', 'Television')]",2017-12-11T14:26:53+0000,https://www.nytimes.com/2017/12/11/arts/television/the-walking-dead-recap-how-its-gotta-be-carl-bit.html,article,Culture,Arts,Television,Review
nyt://article/6c4e1b50-cf23-5fa7-a38b-d6202ebeaf93,"[('persons', 'Clifford, Max'), ('glocations', 'Great Britain'), ('subject', 'Sex Crimes'), ('subject', 'Child Abuse and Neglect'), ('subject', 'Deaths (Obituaries)')]",2017-12-10T14:52:04+0000,https://www.nytimes.com/2017/12/10/world/europe/uk-max-clifford-dead.html,article,Foreign,World,Europe,News
nyt://article/54804324-70b9-5af3-a9a3-d6fc7a77a007,"[('persons', 'Gurdus, Michael (1944-2017)'), ('subject', 'Deaths (Obituaries)'), ('subject', 'Wiretapping and Other Eavesdropping Devices and Methods'), ('glocations', 'Israel')]",2017-12-08T21:58:12+0000,https://www.nytimes.com/2017/12/08/obituaries/mickey-gurdus-dead-eavesdropped-on-the-world.html,article,National,Obituaries,,Obituary (Obit)
